,word1,word2,freq
0,경제,홍삼,11
1,사진,홍삼,11
2,제조,홍삼,11
3,식품,홍삼,11
4,유통,홍삼,11
5,선물,홍삼,11
6,중복,홍삼,11
7,한국,홍삼,11
8,입력,홍삼,11
9,특징,홍삼,11
10,미생물,홍삼,11
11,영양학,홍삼,11
12,유해,홍삼,11
13,함유,홍삼,11
14,비타민,홍삼,11
15,식물,홍삼,11
16,한국인,홍삼,11
17,분해,홍삼,11
18,소포,홍삼,11
19,경우,홍삼,11
20,기자,홍삼,11
21,도사,홍삼,11
22,영해,홍삼,11
23,일반,홍삼,11
24,기한,홍삼,11
25,사용,홍삼,11
26,금지,홍삼,11
27,생산,홍삼,11
28,저분자,홍삼,11
29,파운드,홍삼,11
30,변환,홍삼,11
31,다음,홍삼,11
32,세포,홍삼,11
33,섭취,홍삼,11
34,아시아,홍삼,11
35,성분,홍삼,11
36,무단,홍삼,11
37,용량,홍삼,11
38,자료,홍삼,11
39,나머지,홍삼,11
40,관심,홍삼,11
41,감미료,홍삼,11
42,문혜원,홍삼,11
43,프린트,홍삼,11
44,관리,홍삼,11
45,용해,홍삼,11
46,제등,홍삼,11
47,분쇄,홍삼,11
48,공법,홍삼,11
49,미세,홍삼,11
50,분말,홍삼,11
51,홍삼,흡수,11
52,체내,홍삼,11
53,보존료,홍삼,11
54,안전,홍삼,11
55,스틱,홍삼,11
56,홍삼,효소,11
57,기사,홍삼,11
58,도소,홍삼,11
59,지용성,홍삼,11
60,향료,홍삼,11
61,인공,홍삼,11
62,처리,홍삼,11
63,발효,홍삼,11
64,케이,홍삼,11
65,형태,홍삼,11
66,홍삼,회지,11
67,기바,홍삼,11
68,추석,홍삼,11
69,제공,홍삼,11
70,혜택,홍삼,11
71,사포닌,홍삼,11
72,인증,홍삼,11
73,수정,홍삼,11
74,행사,홍삼,11
75,소비자,홍삼,11
76,최종,홍삼,11
77,세계,홍삼,11
78,과정,홍삼,11
79,시설,홍삼,11
80,안심,홍삼,11
81,고분자,홍삼,11
82,체질,홍삼,11
83,바로,홍삼,11
84,핵심,홍삼,11
85,제품,홍삼,11
86,차이,홍삼,11
87,기간,홍삼,11
88,을사,홍삼,11
89,증점,홍삼,11
90,일드,홍삼,11
91,사이드,홍삼,11
